comment_id,video_id,author,text_translated,likes,published_at,sentiment_score,sentiment_label,tema
UgySB0dkRPOL4UmHDdN4AaABAg,9flte56erE8,@FirashMarzelan,bro the released date is 2 june not 5,0,2025-12-12 06:36:34+00:00,0.0,neutral,otros
UgzprNz-M-yQmHCAoXx4AaABAg,9flte56erE8,@HappyAlamina,awesome,0,2025-12-12 00:21:15+00:00,1.0,positivo,hype
Ugxa8lfkjfdfl1vNMOV4AaABAg,9flte56erE8,@kj-b8z,we have lot of money so new pc console,0,2025-12-07 01:53:15+00:00,0.1363636363636363,positivo,precio
UgzIydODhfoZBZOLLJd4AaABAg,9flte56erE8,@Buderman14,i brought it for 15000,0,2025-12-06 00:04:27+00:00,0.0,neutral,otros
UgwPjwxGcoea80VIeY54AaABAg,9flte56erE8,@BraydeHodson,i have it,1,2025-12-01 06:32:28+00:00,0.0,neutral,otros
UgzD_0d1tiIC_LnW5Yl4AaABAg,9flte56erE8,@LR2001-n6k,i bought my switch 2 from august 2025 for my late birthday gift,0,2025-11-29 03:12:24+00:00,-0.3,negativo,otros
UgxCUb6_Lv__1oqDVmV4AaABAg,9flte56erE8,@ErickLateral,nintendo switch 2,1,2025-11-25 20:53:01+00:00,0.0,neutral,otros
UgyCdV-L-FE97pniuud4AaABAg,9flte56erE8,@Moosewigal,i got this today,1,2025-11-24 00:25:07+00:00,0.0,neutral,otros
Ugy-JdADTJ_dXVLr0nZ4AaABAg,9flte56erE8,@CryGlamRock,goodbye switch 1 classic hello switch 2,2,2025-11-22 01:29:40+00:00,0.1666666666666666,positivo,otros
UgyzVzFrFOOUk4fzkrp4AaABAg,9flte56erE8,@kevinkelly5008,032,1,2025-11-21 19:13:34+00:00,0.0,neutral,otros
UgwougBvN0RgpbMpjfd4AaABAg,9flte56erE8,@kevinkelly5008,im geting it on crismas,3,2025-11-21 19:13:30+00:00,0.0,neutral,otros
UgzGvMO1MBU6_ks9NXF4AaABAg,9flte56erE8,@purabiroy9768,i am getting a nintendo switch for my birthday not to switch to by the way im turning 8,0,2025-11-19 02:57:39+00:00,0.0,neutral,otros
Ugxp3hQgnHFjXb0Xn2Z4AaABAg,9flte56erE8,@robdubent,so many angry poor kids getting jealous and fiending in the comments cope harder poors,2,2025-11-18 15:13:21+00:00,-0.125,negativo,otros
UgyOQDP-v-OiEAZEnip4AaABAg,9flte56erE8,@CameronxAbyss,i love nintendo,2,2025-11-16 14:18:33+00:00,0.5,positivo,hype
Ugzn2yWvtIH3dSoMbot4AaABAg,9flte56erE8,@DJdylan285,drop the price so we can realistically afford to buy it,0,2025-11-12 09:06:33+00:00,0.0,neutral,precio
UgzoR2XTN35crqKNtOR4AaABAg,9flte56erE8,@8eyeyDjt,cool,1,2025-11-06 00:28:23+00:00,0.35,positivo,otros
UgzqwjnpSTNr-pZDAuZ4AaABAg,9flte56erE8,@melisak91,drop the price,0,2025-11-05 22:13:09+00:00,0.0,neutral,precio
Ugxlq0COU-5KSOkKtqx4AaABAg,9flte56erE8,@Chip.n.cheese,you can play switch 2 games on the switch,0,2025-11-03 14:49:15+00:00,0.0,neutral,otros
UgxErh2xw_u-wn3vyL14AaABAg,9flte56erE8,@Dariolinoo16-d1h,lower the prices,0,2025-10-29 14:03:25+00:00,0.0,neutral,precio
Ugzc1mDypZwOf6RULpt4AaABAg,9flte56erE8,@nicholasadelachan221,nintendo switch 3 will be release for another 7 years,0,2025-10-29 00:16:49+00:00,0.0,neutral,otros
Ugzxw3cxFcaUpp_a_zx4AaABAg,9flte56erE8,@aranzazunovelo3282,i love it,1,2025-10-23 14:29:53+00:00,0.5,positivo,hype
UgzKKSuKmEkQETQaXAZ4AaABAg,9flte56erE8,@LivieRodrigoFan,and i still dont have one,1,2025-10-16 14:13:00+00:00,0.0,neutral,otros
UgwTFmWN0pWbGWe2NiN4AaABAg,9flte56erE8,@theepicslayer1641,nintendo wins again,1,2025-10-15 14:23:55+00:00,0.3,positivo,otros
UgyoidMZsCIrM-6oxih4AaABAg,9flte56erE8,@jeremyhd2006,my father got me a nintendo switch 2 mario kart world bundle for my 38th birthday last month and i love it nintendo really outdid themselves with the longawaited mario kart world i havent stopped playing my switch 2 since the day i got it,1,2025-10-15 08:15:17+00:00,0.2333333333333333,positivo,hype
UgyZp_FNMz-q2L6lh4l4AaABAg,9flte56erE8,@RyanNadar-t5w,drop the price,1,2025-10-12 19:18:33+00:00,0.0,neutral,precio
Ugx5CyxH_-SNT4KIC_54AaABAg,9flte56erE8,@P.A.D.S.GamingYT,nintendo evil youre all shills,3,2025-10-10 22:28:12+00:00,-1.0,negativo,otros
UgzjJ3VErEdwpw0zhzR4AaABAg,9flte56erE8,@LevaughnThomas,i really hope they release a lite modelportable only and pro modelhome console only because i dont like the hybrid model but understand those that want all in one i want 2 different devices each big home console that plugs into my wall at home and small portable that i can take on the go,0,2025-10-10 10:55:49+00:00,-0.0083333333333333,neutral,otros
Ugxz8LHGs4kQaR58UVF4AaABAg,9flte56erE8,@camdyn_plays04,drop price and delete virtual game cardsgame key cards from existence,2,2025-10-07 15:59:11+00:00,-0.2,negativo,precio
Ugx5F3PTPn1uBcvdj394AaABAg,9flte56erE8,@GabrielSalinas-p9g,i dont want to overthink characters voices on this system are the same as on the first nintendo switch,0,2025-10-06 13:14:11+00:00,0.125,positivo,otros
Ugy2JzvkElo20LLswgl4AaABAg,9flte56erE8,@PS5Addiction,really love my switch 2 just got mines this past weekend and been playing the new mario kart world first time playing a open world mario kart game lot you can do in free roam and revisiting some of the old tracks i grew up playing on like the toads factory from mario kart wii,0,2025-10-06 06:39:36+00:00,0.0920454545454545,neutral,hype
Ugy5X9xPz6Y7NHOlT_J4AaABAg,9flte56erE8,@nomthandazobiyela1551,so you are a little late for this but you,0,2025-10-05 18:34:43+00:00,-0.24375,negativo,otros
Ugx2rw8T2xG_oGKlE_x4AaABAg,9flte56erE8,@snes-stop,i love this console a,2,2025-10-05 10:12:47+00:00,0.5,positivo,hype
UgxaEtL3Acqw5zqZUGt4AaABAg,9flte56erE8,@Eissa-1994,sir yes sir i got one,2,2025-10-01 12:28:30+00:00,0.0,neutral,otros
UgwkMt2MSkbrN1bAIyR4AaABAg,9flte56erE8,@FranklinNomad,worth the money,3,2025-10-01 02:00:31+00:00,0.3,positivo,precio
UgwuK2DPRGreR-72sjN4AaABAg,9flte56erE8,@AlienVKFamilies,stupid idiot ridiculously filthy earthlings human creature monsters villains of the earth from planet earth terrible bad crazy dumb of insane,0,2025-09-30 19:23:48+00:00,-0.675,negativo,decepcion
UgyaCAV3hc2CeBDcuL14AaABAg,9flte56erE8,@AlienVKFamilies,thats it,1,2025-09-30 19:20:23+00:00,0.0,neutral,otros
Ugz5decSdLth-bfeLit4AaABAg,9flte56erE8,@TheFallenSithMaster,best console i ever purchased had it for a couple of months excited for metroid and zelda age of imprisonment,2,2025-09-26 23:31:10+00:00,0.6875,positivo,hype
Ugyp8hFY9jY3MdyoDZJ4AaABAg,9flte56erE8,@William825-i2k,different from your guideline or programming i see a minimal difference to the first console and the same bare board larger screen,0,2025-09-22 18:25:48+00:00,0.0333333333333333,neutral,otros
Ugz_B02BJWHttTJO3qB4AaABAg,9flte56erE8,@Lovelypinkcherry1,240 the nintendo switch 2 joystick is better than any console ever made but it still looks better on the switch because the game itself has more features than most consoles do,0,2025-09-22 09:42:16+00:00,0.32,positivo,mejoras
